id,post_id,type,maintype,network,pack_name,onnet_calls_baserate,onnet_calls_tax,calls_ptcl_baserate,calls_ptcl_tax,call_fnf_numbers,calls_fnf_baserate,calls_fnf_tax,offnet_calls_baserate,offnet_calls_tax,onnet_sms_baserate,onnet_sms_tax,offnet_sms_baserate,offnet_sms_tax,intl_sms_baserate,intl_sms_tax,mms_50kb,data_mb,incentives_total_min,incentives_fnf_min,incentivces_onnet_min,incentivces_offnet_min,incentivces_ptcl_min,incentivces_2g3g_min,sms_localnet,line_rent,sms_line_rent,security_deposit_nwd,security_deposit_isd,security_deposit_ir,notes,status,isms_maincategory_id,onnet_calls_2ndpulse,offnet_calls_2ndpulse,onnet_sms_2ndpulse,offnet_sms_2ndpulse,intl_sms_2ndpulse,fnf_numbers,fnf_baserate,fnf_tax,fnf_2ndpulse,calls_pulse_r,setup_calls_charges,gprs_mb,dailycharges,important_p,ussd_string,viewtype,workcode,updatenotes,mainheader,notifydomain,pkgstatus
3,1,Prepaid,Packages,Jazz,Jazz Budget,Rs.3.50/60 sec (Incl. Tax),Rs.3.50/60 sec (Incl. Tax),nan,nan,nan,nan,nan,Rs.3.50/60 sec (Incl. Tax),Rs.3.50/60 sec (Incl. Tax),2.09+tax/sms,2.5/sms,2.09+tax/sms,2.5/sms,Rs.10+tax/sms,Rs. 11.98/sms,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,A,nan,-,-,-,-,-,Rs. 0.60 / 30 Seconds,2.99 / 60s,Rs. 0.60 / 30 Seconds,2.99 / 60s,60,Rs. 0.15,Rs. 5/MB.,0,"Direct USSD: *301# (string is disabled effective from 9th june, 2023) Package Conversion Charges: Rs. 15 + Tax Note: 1st time package plan conversion is free",*301#,CallCenter,Description Category Area Jazz Budget - Base - Default - Information Prepaid Offers/Bundles Information Jazz Budget - Base - Default - Activation Prepaid Offers/Bundles Activation Jazz Budget - Base - Default - Complaints - General Prepaid Offers/Bundles Complaints - General Jazz Budget - Base - Default - Complaints - Incentive Issue Prepaid Offers/Bundles Complaints - Incentive Issue,nan,B2C,CC - GSM JAZZ,Active
13,3,Postpaid,Packages,Jazz,J-300,Rs.2.2/min + tax,-,Rs.2.2/min + tax,-,Rs.0.75,Rs.0.75,Rs. 0.90,Rs.2.2/min + tax,-,Rs.0.75,Rs. 0.90,0.75 + tax,2.09/min,5.00 /SMS,5.98,nan,5/MB,-,nan,4500,300,nan,15GB,4500,Rs.945.97 [Excl Tax],nan,1400,-,5000,"Social media includes Twitter, Facebook & whatsapp On-Net minutes are useable for calls to Warid Network as well Free minutes and FnF Min will not available during IR Packages are recursive in charging (monthly) and pro-ratable No CPP charges will be applied on these packages GPRS rates would be the Rs.18/MB with 64KB minimum charging unit Package is available to consumer catalogue only & not business If an FnF number is changed or added, it will take effect from the next day. If a number is deleted or replaced, it will end on the same day at 23:59, as per current scenario for all existing packages An FnF number added or updated cannot be deleted again on the same day. Delete action can only work from the next day If an FnF number ports out, the FnF discount will no longer apply to calls made to it",A,"36,773,394",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,J 300 - Base - Default - Activation J 300 - Base - Default - Information J 300 - Base - Default - Complaints - Incentive Issue J 300 - Base - Default - Complaints - Wrong/Over Charging J 300 - Base - Default - Complaints - General,"4500 Onnet Mins 300 Offnet Mins 15 GB Data [2G, 3G, 4G] 4500 SMS @ PKR945.97 [Exc Tax]",B2C,CC - GSM JAZZ,Active
14,3,Postpaid,Packages,Jazz,J-300,Rs.2.2/min + tax,-,Rs.2.2/min + tax,-,Rs.0.75,Rs.0.75,Rs. 0.90,Rs.2.2/min + tax,-,Rs.0.75,Rs. 0.90,0.75 + tax,2.09/min,5.00 /SMS,5.98,nan,5/MB,-,nan,4500,300,nan,15GB,4500,Rs.945.97 [Excl Tax],nan,1400,-,5000,"Social media includes Twitter, Facebook & whatsapp On-Net minutes are useable for calls to Warid Network as well Free minutes and FnF Min will not available during IR Packages are recursive in charging (monthly) and pro-ratable No CPP charges will be applied on these packages GPRS rates would be the Rs.18/MB with 64KB minimum charging unit Package is available to consumer catalogue only & not business If an FnF number is changed or added, it will take effect from the next day. If a number is deleted or replaced, it will end on the same day at 23:59, as per current scenario for all existing packages An FnF number added or updated cannot be deleted again on the same day. Delete action can only work from the next day If an FnF number ports out, the FnF discount will no longer apply to calls made to it",A,"36,773,394",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,J 300 - Base - Default - Activation J 300 - Base - Default - Information J 300 - Base - Default - Complaints - Incentive Issue J 300 - Base - Default - Complaints - Wrong/Over Charging J 300 - Base - Default - Complaints - General,"4500 Onnet Mins 300 Offnet Mins 15 GB Data [2G, 3G, 4G] 4500 SMS @ PKR945.97 [Exc Tax]",B2C,CC - GSM JAZZ,Active
22,2,Prepaid,Packages,Jazz,Champion Package,Rs 3.50/Minute Incl Tax,Rs 3.50/Minute Incl Tax,nan,nan,nan,nan,nan,Rs 3.50/Minute Incl Tax,Rs 3.50/Minute Incl Tax,Rs 2.5/SMS Incl Tax,Rs 2.5/SMS Incl Tax,Rs 2.5/SMS Incl Tax,-,Rs. 10/SMS + Tax,Rs 11.95 incl. tax,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,A,2456,-,-,-,-,-,-,-,-,-,Per Minute,Rs 0.15,Rs. 5/MB,-,"•    All MNP & new sales will get Jazz Champion’s by default •    Other package subscribers can migrate to Jazz Champions by dialing *337# •    Call set up fee Rs. 0.15 is applicable •    Actual internet speed will depend on multiple factors like sim, device, web pages accessed, time of day, number of simultaneous users, distance from 2G/3G/4G site etc •    If you are not subscribed to any data bundle, base rate will be charged i.e. Rs.5/MB. Charging Pulse will be 512 KB Customer can avail this bundle from our self-service channels i.e., 3111 Self-Service IVR.",*337#,CallCenter,Description Category Area Champion Package - Base - Default - Information Prepaid Offers/Bundles Information Champion Package - Base - Default - Activation Prepaid Offers/Bundles Activation Champion Package - Base - Default - Complaints - Incentive Issue Prepaid Offers/Bundles Complaints - Incentive Issue Champion Package - Base - Default - Complaints - Wrong/Over Charging Prepaid Offers/Bundles Complaints - Wrong/Over Charging Champion Package - Base - Default - Complaints - General Prepaid Offers/Bundles Complaints - General,nan,B2C,"CC - GSM JAZZ,CE Team,CP,FRA - ALL,Business centers,EC - Managers,MKT - Segments,Jazz QT",Active
28,5,Prepaid,Packages,Jazz,Jazz One,Rs.3.50 (incl.tax)  / 60 Seconds,Rs.3.50 (incl.tax)  / 60 Seconds,nan,nan,nan,nan,nan,Rs.3.50 (incl.tax)  / 60 Seconds,Rs.3.50 (incl.tax)  / 60 Seconds,Rs. 2.15+ tax/sms,2.50/sms,Rs. 2.15+tax / SMS,2.50/sms,10+tax,11.98/sms,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,A,nan,60 Sec,60 Sec,-,-,-,10,Rs. 0.60/30 Sec,0.72/30sec,-,-,-,Rs. 5/MB,-,"Direct USSD:  *302# (string is disabled effective from 9th june, 2023) Package Conversion Charges: Rs. 15 + tax, Rs.17.95 (inc tax) Note: 1st time package plan conversion is free UPDATE: Please note that effective 14th March 2024 11:59PM below mentioned discounted voice payg rates will NOT be available for Jazz One service class. Normal call rates mentioned above (3.50/60 sec) will be charged to the customer. Customer having main account balance less than PKR 3.65 (Call base rate + Call setup charges) will not be able to intiate the call. Voice PayG Pilot (Starting from 12th Sep- Expired: 14th March 2024 11:59PM) We are conducting a pilot on Jazz One service class for discounted voice payg rates at balance less than Rs.3.65 . Customers having balance less than Rs.3.65 will be able to generate a new payg call and be charged based below banding for available balance. Current Balance PayG Rate Call Setup Total Deduction Min Max 3.15 3.64 2.70 0.15 2.85 2.65 3.14 2.20 0.15 2.35 2.15 2.64 1.70 0.15 1.85 1.65 2.14 1.20 0.15 1.35 1.15 1.64 0.70 0.15 0.85 Important Points: This is a pilot and will only be carried out on ‘Jazz One’ service class We are currently charging customers voice payg rate @ Rs.3.5 per min (Rs. 3.65 including call setup charge) These rates will only apply on new calls. In case of low balance, on-going call will disconnect, and customer will then be able to dial a new call at discounted rate. These rates will be applicable on both on-net & off-net Min however will not be applicable below Rs. 1.15 balance Rest of the existing mechanics will remain same",*302#,CallCenter,Description Category Area Jazz One - Base - Default - Information Prepaid Offers/Bundles Information Jazz One - Base - Default - Activation Prepaid Offers/Bundles Activation Jazz One - Base - Default - Complaints - General Prepaid Offers/Bundles Complaints - General Jazz One - Base - Default - Complaints - Wrong/Over Charging Prepaid Offers/Bundles Complaints - Wrong/Over Charging,nan,B2C,"CC - GSM JAZZ,CC - CFL,CC - QA,CE VMT,FRA - ALL,Business centers,CC - GSM JAZZ,CC - GSM JAZZ,CC - GSM JAZZ",Active
36,1,Prepaid,Packages,Jazz,Jazz Budget,Rs.3.50/60 sec (Incl. Tax),Rs.3.50/60 sec (Incl. Tax),nan,nan,nan,nan,nan,Rs.3.50/60 sec (Incl. Tax),Rs.3.50/60 sec (Incl. Tax),2.09+tax/sms,2.5/sms,2.09+tax/sms,2.5/sms,Rs.10+tax/sms,Rs. 11.98/sms,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,A,nan,-,-,-,-,-,Rs. 0.60 / 30 Seconds,2.99 / 60s,Rs. 0.60 / 30 Seconds,2.99 / 60s,60,Rs. 0.15,Rs. 5/MB.,0,"Direct USSD: *301# (string is disabled effective from 9th june, 2023) Package Conversion Charges: Rs. 15 + Tax Note: 1st time package plan conversion is free",*301#,CallCenter,Description Category Area Jazz Budget - Base - Default - Information Prepaid Offers/Bundles Information Jazz Budget - Base - Default - Activation Prepaid Offers/Bundles Activation Jazz Budget - Base - Default - Complaints - General Prepaid Offers/Bundles Complaints - General Jazz Budget - Base - Default - Complaints - Incentive Issue Prepaid Offers/Bundles Complaints - Incentive Issue,nan,B2C,CC - GSM JAZZ,Active
44,6,Prepaid,Packages,Jazz,Jazz Easy,Rs. 3.50 (inc tax) / 60 sec,Rs. 3.50 (inc tax) / 60 sec,nan,nan,nan,nan,nan,Rs. 3.50 (inc tax) / 60 sec,Rs. 3.50 (inc tax) / 60 sec,Rs. 2.50/sms,Rs. 2.50/sms,Rs. 2.50/sms,-,Rs. 11.95 inc tax,Rs. 11.95 inc tax,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,A,1901,30 Sec,30 Sec,-,-,-,-,2.78 / 60 sec,Rs.3.32 / 60s,-,60sec,Rs 0.15,Rs. 5/MB,-,Package Conversion Charges: Rs. 15 Note: 1st time package plan conversion is free,*305#,CallCenter,Description Category Area Jazz Easy - Base - Default - Information Prepaid Offers/Bundles Information Jazz Easy - Base - Default - Activation Prepaid Offers/Bundles Activation Jazz Easy - Base - Default - Complaints - Wrong/Over Charging Prepaid Offers/Bundles Complaints - Wrong/Over Charging Jazz Easy - Base - Default - Complaints - General Prepaid Offers/Bundles Complaints - General Jazz Easy - Base - Default - Complaints - Incentive Issue Prepaid Offers/Bundles Complaints - Incentive Issue,nan,B2C,CC - GSM JAZZ,Active
48,6,Prepaid,Packages,Jazz,Jazz Easy,Rs. 3.50 (inc tax) / 60 sec,Rs. 3.50 (inc tax) / 60 sec,nan,nan,nan,nan,nan,Rs. 3.50 (inc tax) / 60 sec,Rs. 3.50 (inc tax) / 60 sec,Rs. 2.50/sms,Rs. 2.50/sms,Rs. 2.50/sms,-,Rs. 11.95 inc tax,Rs. 11.95 inc tax,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,A,1901,30 Sec,30 Sec,-,-,-,-,2.78 / 60 sec,Rs.3.32 / 60s,-,60sec,Rs 0.15,Rs. 5/MB,-,Package Conversion Charges: Rs. 15 Note: 1st time package plan conversion is free,*305#,CallCenter,Description Category Area Jazz Easy - Base - Default - Information Prepaid Offers/Bundles Information Jazz Easy - Base - Default - Activation Prepaid Offers/Bundles Activation Jazz Easy - Base - Default - Complaints - Wrong/Over Charging Prepaid Offers/Bundles Complaints - Wrong/Over Charging Jazz Easy - Base - Default - Complaints - General Prepaid Offers/Bundles Complaints - General Jazz Easy - Base - Default - Complaints - Incentive Issue Prepaid Offers/Bundles Complaints - Incentive Issue,nan,B2C,CC - GSM JAZZ,Active
52,7,Prepaid,Packages,Jazz,Champion Package II,Rs 3.50/Minute Incl Tax,Rs 3.50/Minute Incl Tax,nan,nan,nan,nan,nan,Rs 3.50/Minute Incl Tax,Rs 3.50/Minute Incl Tax,Rs 2.5/SMS,Rs 2.5/SMS,Rs 2.5/SMS,Rs 2.5/SMS,Rs 10/SMS + Tax,Rs 11.95 incl. tax,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,A,2456,-,-,-,-,-,-,-,-,-,Per Minute,Rs 0.15,Rs.5/MB,-,"•    All MNP & new sales will get Jazz Champion’s by default •    Other package subscribers can migrate to Jazz Champions by dialing *337# •    Call set up fee Rs. 0.15 is applicable •    Actual internet speed will depend on multiple factors like sim, device, web pages accessed, time of day, number of simultaneous users, distance from 2G/3G/4G site etc •    If you are not subscribed to any data bundle, base rate will be charged i.e. Rs.5/MB. Charging Pulse will be 512 KB",*337#,CallCenter,Description Category Area Champion Package II - Base - Default - Information Prepaid Offers/Bundles Information Champion Package II - Base - Default - Activation Prepaid Offers/Bundles Activation Champion Package II - Base - Default - Complaints - Wrong/Over Charging Prepaid Offers/Bundles Complaints - Wrong/Over Charging Champion Package II - Base - Default - Complaints - General Prepaid Offers/Bundles Complaints - General Champion Package II - Base - Default - Complaints - Incentive Issue Prepaid Offers/Bundles Complaints - Incentive Issue,nan,B2C,"CC - GSM JAZZ,CC - QA,CE Team,CE VMT,CP,ASM BSM,FRA - ALL,EC - RCCH,Business centers,EC - Managers,MKT - Segments,Jazz Q&T,Social Media,Comm Unit",Active
60,8,Prepaid,Packages,Jazz,Special Afghan SIM,Rs. 0.84,Rs. 0.90,nan,nan,nan,nan,nan,Rs. 0.84,Rs. 0.90,Rs. 1.00,-,Rs. 1.00,-,Rs. 5.00,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,A,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Rs. 3,nan,"Afghanistan Calling Rate - Rs. 4.5/15 Sec UAE, Saudia Kuwait, Qatar Calling Rate - Rs. 2/15 sec Special Afghan SIMs are now available for sale at various locations of Pakistan through our Business Centers & Franchise Centers",nan,CallCenter,nan,nan,B2C,nan,Active
68,9,Prepaid,Packages,Jazz,IDD World SIM,Rs. 2,-,nan,nan,nan,nan,nan,Rs. 2,-,Rs. 1,-,Rs. 1,-,Rs. 5,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,A,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15 Paisa,Rs. 3,nan,nan,nan,CallCenter,nan,nan,B2C,nan,Active
84,11,Prepaid,Packages,Jazz,Glow Champion,Rs. 3.50/Minute Incl Tax,Rs. 3.50/Minute Incl Tax,nan,nan,nan,nan,nan,Rs. 3.50/Minute Incl Tax,Rs. 3.50/Minute Incl Tax,Rs. 2.5/SMS,Rs. 2.5/SMS,-,-,Rs 11.95 incl tax,Rs 11.95 incl tax,Rs.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,A,2456,-,-,Rs. 2.5/SMS,Rs. 2.5/SMS,Rs 11.95 incl tax,Rs. 2.99/Minute Incl Tax,Rs. 2.99/Minute Incl Tax,Rs. 2.99/Minute Incl Tax,-,Per Minute,Rs: 0.15,5/MB,-,"•    All MNP & new sales will get Jazz Champion’s by default •    Other package subscribers can migrate to Jazz Champions by dialing *337# •    Call set up fee Rs. 0.15 is applicable •    Actual internet speed will depend on multiple factors like sim, device, web pages accessed, time of day, number of simultaneous users, distance from 2G/3G/4G site etc •    If you are not subscribed to any data bundle, base rate will be charged i.e. Rs.5/MB. Charging Pulse will be 512 KB",-,CallCenter,Prepaid Package Info,nan,B2C,"CC - GSM JAZZ,CC - QA,CE Team,CE VMT,CP,ASM BSM,FRA - ALL,EC - RCCH,Business centers,EC - Managers,MKT - Segments,CE-Development,Jazz Q&T,CC: Credit & Collection,Social Media,Comm Unit",Active
92,12,Postpaid,Packages,Jazz,M-300,Rs.2.2+tax/min,-,Rs.2.2+tax/min,-,3,Rs. 0.75,0.90/min,Rs.2.2+tax/min,-,Rs. 0.75+tax,-,Rs. 0.75+tax,-,Rs. 5,Rs. 5.98/sms,nan,Rs. 2+tax,-,-,4500,300,-,15GB,4500,Rs.945.97 [Excl Tax],25,Rs.1400,-,5000,SMS Incentive: 4500 SMS,A,10057,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,M 300 - Base - Default - Complaints - Incentive Issue M 300 - Base - Default - Complaints - Wrong/Over Charging M 300 - Base - Default - Complaints - General M 300 - Base - Default - Activation M 300 - Base - Default - Information,Revision in Security Deposit & Line Rent,B2C,CC - GSM JAZZ,Active
100,13,Postpaid,Packages,Jazz,M-400,Rs.2.2+tax/min,-,Rs.2.2+tax/min,-,3,Rs.0.75/min,Rs. 0.90/min,Rs.2.2+tax/min,-,Rs. 0.75+tax/SMS,-,Rs. 1.60/SMS,-,Rs 5,Rs. 5.98/sms,nan,Rs.2+tax/MB,-,nan,6000,450,nan,20 GB,6000,Rs.1455.33 [Excl Tax],Rs.25,Rs.2100,-,5000,nan,A,73,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,M 400 - Base - Default - Activation M 400 - Base - Default - Information M 400 - Base - Default - Complaints - Incentive Issue M 400 - Base - Default - Complaints - General,"Revision in Incentives, Line Rent & Security Deposit",B2C,CC - GSM JAZZ,Active
108,14,Postpaid,Packages,Jazz,M-600,Rs. 1.50,1.79/min,Rs. 1.50,1.79/min,3,Rs. 0.75,0.90/min,Rs. 1.50,1.79/min,Rs. 0.75,0.90/min,Rs. 1.50,-,Rs. 5.00,Rs. 5.98/sms,nan,Rs. 2,1000,400,300,300,nan,1024 MB,300 SMS,Rs. 600+tax,Rs. 25,Rs. 1500,Rs. 1500,5000,"M600-Line Rent:Rs 600,Free FNF Min 400,Free OnNet min 300,Free OffNet min 300,Free Local SMS 300,Free data 1GB.Outgoing OnNet & OffNet Rs.1.50/min, FNF Rs.0.75min and Rs0.75/SMS.Taxes Apply",A,2165,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,Description Category Area M 600 - Base - Default - Activation Postpaid Offers/Bundles Activation M 600 - Base - Default - Information Postpaid Offers/Bundles Information,Work Code has been added,B2C,CC - GSM JAZZ,Active
