id,post_id,type,maintype,network,pack_name,onnet_calls_baserate,onnet_calls_tax,calls_ptcl_baserate,calls_ptcl_tax,call_fnf_numbers,calls_fnf_baserate,calls_fnf_tax,offnet_calls_baserate,offnet_calls_tax,onnet_sms_baserate,onnet_sms_tax,offnet_sms_baserate,offnet_sms_tax,intl_sms_baserate,intl_sms_tax,mms_50kb,data_mb,incentives_total_min,incentives_fnf_min,incentivces_onnet_min,incentivces_offnet_min,incentivces_ptcl_min,incentivces_2g3g_min,sms_localnet,line_rent,sms_line_rent,security_deposit_nwd,security_deposit_isd,security_deposit_ir,notes,status,isms_maincategory_id,onnet_calls_2ndpulse,offnet_calls_2ndpulse,onnet_sms_2ndpulse,offnet_sms_2ndpulse,intl_sms_2ndpulse,fnf_numbers,fnf_baserate,fnf_tax,fnf_2ndpulse,calls_pulse_r,setup_calls_charges,gprs_mb,dailycharges,important_p,ussd_string,viewtype,workcode,updatenotes,mainheader,notifydomain,pkgstatus
2333,63,Postpaid,Packages,Jazz,Gold Plus Max,Rs.2/min + tax,-,Rs.2/min + tax,-,3,Rs.0.75+tax/min,-,Rs.2/min + tax,-,Rs.0.75,-,Rs.0.75,-,Rs 5+TAX/SMS,-,-,Rs.2+tax/MB,-,-,6000,450,-,20GB,6000 SMS,Rs.1637.25 [Excl Tax],-,Rs.2400,Rs2800,Rs 5000,"Gold Plus Max Package is allowed for Package change and Pre to Post conversion Legacy Packages (M-Packages, W- Package and J-Packages) are allowed to be converted to Gold Max Packages. New Sale is not allowed on Gold-Max Packages",A,5275,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,Work Codes: Gold Plus Max - Base - Default - Activation Gold Plus Max - Base - Default - Information Gold Plus Max - Base - Default - Complaints - Incentive Issue Gold Plus Max - Base - Default - Complaints - Wrong/Over Charging Gold Plus Max - Base - Default - Complaints - General,Revision in Line Rent and Security Deposit,B2C,"CC - GSM JAZZ,CC - RTG,CC - CFL,CC - QA,DFS - Helpline,CE Team,CE VMT,RBH,CP,RD,ASM BSM,FRA - ALL,Business centers,EC - Managers,DIG - ALL,BO - Outsource,BO - In House,CE-Development,Jazz Q&T,CC: Credit & Collection,Social Media,Comm Unit,CX–PTA CORRESPONDENCE TEAM,FSE groups,MMBL QA,Regional Finance Business Partner,MMBL CC,SIMOSA TEAM,Sales,B2B,Sales (Regional commercial),Sales Operation Executive",Active
2337,64,Postpaid,Packages,Jazz,Gold Ultimate Max,Rs.2/min + tax,-,Rs.2/min + tax,-,3,Rs.0.75/min,-,Rs.2/min + tax,-,Rs.0.75,-,Rs.0.75,-,Rs 5+TAX,-,-,Rs.2+tax/MB,-,-,"10,000",650,-,40GB,"10,000",Rs.2401.31 [Excl Tax],-,Rs.2000,-,Rs 5000,"Gold Ultimate Max Package is allowed for Package change and Pre to Post conversion Legacy Packages (M-Packages, W- Package and J-Packages) are allowed to be converted to Gold Max Packages. New Sale is not allowed on Gold-Max Packages",A,5274,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,Work Codes: Gold Ultimate Max - Base - Default - Activation Gold Ultimate Max - Base - Default - Information Gold Ultimate Max - Base - Default - Complaints - Incentive Issue Gold Ultimate Max - Base - Default - Complaints - Wrong/Over Charging Gold Ultimate Max - Base - Default - Complaints - General,Revision in price,B2C,"CC - GSM JAZZ,CC - RTG,CC - CFL,CC - QA,DFS - Helpline,CE Team,CE VMT,RBH,CP,RD,ASM BSM,FRA - ALL,EC - RCCH,Business centers,EC - Managers,DIG - ALL,BO - Outsource,BO - In House,CE-Development,Jazz Q&T,CC: Credit & Collection,Social Media,Comm Unit,7667 Helpline,CX–PTA CORRESPONDENCE TEAM,FSE groups,MMBL QA,Regional Finance Business Partner,MMBL CC,SIMOSA TEAM,Sales,B2B,Sales (Regional commercial),Sales Operation Executive,BIZ,CC - GSM JAZZ,CC - GSM JAZZ,CC - GSM JAZZ",Active
2341,66,Postpaid,Packages,Jazz,Postpay Economy,Rs 2.2+tax,-,Rs 2.2+tax,-,0.75+tax,-,-,Rs 2.2+tax,-,0.75+tax,-,0.75+tax,-,Rs 5+TAX/SMS,-,-,Rs.2+tax/MB,-,-,1000 All-Net Mins & 50 IDD,-,-,100 GB,10000,Rs.2183 [Excl Tax],-,3100,-,Rs 5000,"IDD Destinations: (AUS,CAN,USA,CHINA) Postpay Economy Package is allowed for Package change and Pre to Post conversion Legacy Packages (M-Packages, W- Package and J-Packages) are allowed to be converted to Postpay Economy. New Sale is not allowed on Postpay Economy Package",A,5296,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,Postpay Economy - Base - Default - Information Postpaid Offers/Bundles Information Postpay Economy - Base - Default - Activation Postpaid Offers/Bundles Activation Postpay Economy - Base - Default - Complaints - Incentive Issue Postpaid Offers/Bundles Complaints - Incentive Issue Postpay Economy - Base - Default - Complaints - Wrong/Over Charging Postpaid Offers/Bundles Complaints - Wrong/Over Charging,"IDD Destinations: (AUS,CAN,USA,CHINA)",B2C,"CC - RTG,CC - CFL,CC - QA,DFS - Helpline,Jazz Q&T,MMBL QA,MMBL CC",Active
2345,67,Postpaid,Packages,Jazz,Postpay Starter,Rs 2.2+tax,-,Rs 2.2+tax,-,3,Rs.0.75+tax/min,-,Rs 2.2+tax,-,Rs.0.75+tax,-,Rs.0.75+tax,-,Rs 5+TAX,-,-,Rs.2+tax/MB,-,-,6000,450,-,20 GB,6000,Rs.1455.33 [Excl Tax],-,Rs.2100,-,Rs 5000,"Postpay Starter Package is allowed for Package change and Pre to Post conversion Legacy Packages (M-Packages, W- Package and J-Packages) are allowed to be converted to Postpay Starter. New Sale is not allowed on Postpay Starter Package",A,5297,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,Description Category Area Postpay Starter - Base - Default - Information Postpaid Offers/Bundles Information Postpay Starter - Base - Default - Activation Postpaid Offers/Bundles Activation Postpay Starter - Base - Default - Complaints - Incentive Issue Postpaid Offers/Bundles Complaints - Incentive Issue Postpay Starter - Base - Default - Complaints - Wrong/Over Charging Postpaid Offers/Bundles Complaints - Wrong/Over Charging Postpay Starter - Base - Default - Complaints - General Postpaid Offers/Bundles Complaints - General,"6000 Onnet Mins 450 Offnet Mins 20 GB Data [2G, 3G, 4G] 6000 SMS @ PKR1455.33 [Exc Tax]",B2C,"CC - GSM JAZZ,CC - RTG,CC - CFL,CC - QA,DFS - Helpline,CE Team,CE VMT,RBH,CP,RD,ASM BSM,Business centers,EC - Managers,MKT - Segments,DIG - ALL,BO - Outsource,BO - In House,CE-Development,Jazz Q&T,CC: Credit & Collection,Social Media,Comm Unit,CX–PTA CORRESPONDENCE TEAM,FSE groups,MMBL QA,Regional Finance Business Partner,SIMOSA TEAM,Sales,Sales (Regional commercial),Sales Operation Executive",Active
2349,68,Postpaid,Packages,Jazz,Postpay Basic,Rs 2.2+tax,-,Rs.2.2+tax/min,-,3,Rs.0.75+tax/min,-,Rs 2.2+tax,-,Rs.0.75,-,Rs.0.75+tax,-,Rs 5+TAX,-,-,Rs.2+tax/MB,-,-,4500 On--Net Minutes,300,-,15GB,4500,Rs.945.97 [Excl Tax],-,Rs.1400,-,Rs 5000,"Postpay Basic Package is allowed for Package change and Pre to Post conversion Legacy Packages (M-Packages, W- Package and J-Packages) are allowed to be converted to Postpay Basic. New Sale is not allowed on Postpay Basic Package",A,5298,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,Work Code Description 16354 Postpay Basic - Base - Default - Activation 16355 Postpay Basic - Base - Default - Information 16356 Postpay Basic - Base - Default - Complaints - Incentive Issue 16357 Postpay Basic - Base - Default - Complaints - Wrong/Over Charging 16358 Postpay Basic - Base - Default - Complaints - General,"Revision in Incentives, Line Rent & Security Deposit",B2C,"CC - GSM JAZZ,CC - RTG,CC - CFL,CC - QA,DFS - Helpline,CE Team,CE VMT,RBH,CP,RD,ASM BSM,FRA - ALL,Business centers,EC - Managers,MKT - Segments,DIG - ALL,BO - Outsource,BO - In House,CE-Development,Jazz Q&T,CC: Credit & Collection,Social Media,Comm Unit,CX–PTA CORRESPONDENCE TEAM,FSE groups,MMBL QA,Regional Finance Business Partner,MMBL CC,SIMOSA TEAM,Sales,Sales (Regional commercial),Sales Operation Executive,BIZ",Active
2353,69,Postpaid,Packages,Jazz,Postpay Value,Rs 2.2+tax,-,Rs 2.2+tax,-,3,Rs.0.75+tax/min,-,Rs 2.2+tax,-,Rs.0.75+tax,-,Rs.0.75+tax,-,Rs 5+TAX/SMS,-,-,Rs.2+tax/MB,-,-,6000,450,-,20GB,6000,Rs.1637.25 [Excl Tax],-,Rs.2400,-,Rs 5000,"Postpay Value Package is allowed for Package change and Pre to Post conversion Legacy Packages (M-Packages, W- Package and J-Packages) are allowed to be converted to Postpay Value. New Sale is not allowed on Postpay Value Package",A,5346,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,Postpay Value - Base - Default - Information,Revision in price,B2C,"CC - GSM JAZZ,CC - RTG,CC - CFL,CC - QA,DFS - Helpline,CE Team,CE VMT,RBH,CP,RD,ASM BSM,FRA - ALL,Business centers,EC - Managers,MKT - Segments,MKT-VAS,DIG - ALL,BO - Outsource,BO - In House,CE-Development,Jazz Q&T,CC: Credit & Collection,Social Media,Comm Unit,CX–PTA CORRESPONDENCE TEAM,FSE groups,MMBL QA,Regional Finance Business Partner,MMBL CC,SIMOSA TEAM,Sales,B2B,Sales (Regional commercial),Sales Operation Executive,BIZ,DFS Customer Experience Team",Active
2357,70,Postpaid,Packages,Jazz,Postpay Plus,Rs 2.2+tax,-,Rs.2.2+tax/min,-,3,Rs.0.75+tax/min,-,Rs 2.2+tax,-,Rs.0.75+tax,-,Rs.0.75+tax,-,Rs 5+TAX/SMS,-,-,Rs.2+tax/MB,-,-,"10,000",1000,-,10GB,"10,000",Rs.2401.31 [Excl Tax],-,Rs3250,-,Rs 5000,"Postpay Plus Package is allowed for Package change and Pre to Post conversion Legacy Packages (M-Packages, W- Package and J-Packages) are allowed to be converted to Postpay Plus. New Sale is not allowed on Postpay Plus Package",A,5347,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,Postpay Plus - Base - Default - Activation Postpay Plus - Base - Default - Information,Revision in price,B2C,"CC - GSM JAZZ,CC - RTG,CC - CFL,CC - QA,DFS - Helpline,CE Team,CE VMT,RBH,CP,RD,ASM BSM,FRA - ALL,EC - RCCH,Business centers,EC - Managers,MKT - Segments,MKT-VAS,DIG - ALL,BO - Outsource,BO - In House,CE-Development,Jazz Q&T,CC: Credit & Collection,Social Media,Comm Unit,7667 Helpline,CX–PTA CORRESPONDENCE TEAM,FSE groups,MMBL QA,Regional Finance Business Partner,MMBL CC,SIMOSA TEAM,Sales,B2B,Sales (Regional commercial),Sales Operation Executive,BIZ,DFS Customer Experience Team,CC - GSM JAZZ,CC - GSM JAZZ,CC - GSM JAZZ",Active
2361,71,Postpaid,Packages,Jazz,Postpay Mega,PKR 1.75/60 Sec [Exc. Tax],-,PKR 1.75/60 Sec [Exc. Tax],-,-,PKR 0.75/60 Sec [Exc. Tax],-,PKR 1.75/60 Sec [Exc. Tax],-,PKR 0.75/SMS [Exc. Tax],-,PKR 0.75/SMS [Exc. Tax],-,PKR 5/SMS [Exc. Tax],-,-,-,-,-,12500 On-net minutes,1250 Off-net minutes,-,"12.5 GB Data [2G,3G,4G]",PKR 0.75/SMS [Exc. Tax],PKR 2183 [Excl Tax],-,"Rs3,750",-,Rs5000,"Postpay Mega Line Rent Package with 12.5GB Data + 1250 Off-Net Min + 12,500 On-Net Min + 12,500 SMS for a month",A,5342,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,Postpay Mega - Base - Default - Activation Postpay Mega - Base - Default - Information Postpay Mega - Base - Default - Complaints - Incentive Issue Postpay Mega - Base - Default - Complaints - Wrong/Over Charging Postpay Mega - Base - Default - Complaints - General,Postpay Mega - work codes addition,B2C,"CC - GSM JAZZ,CC - CFL,CC - QA,CE Team,CE VMT,FRA - ALL,Business centers,MKT - Segments,BO - Outsource,BO - In House,Jazz Q&T,CC: Credit & Collection,Social Media,Comm Unit,CX–PTA CORRESPONDENCE TEAM,FSE groups",Active
2365,72,Postpaid,Packages,Jazz,Postpay Max,PKR 1.75/60 Sec [Exc. Tax],-,PKR 1.75/60 Sec [Exc. Tax],-,-,PKR 0.75/60 Sec [Exc. Tax],-,PKR 1.75/60 Sec [Exc. Tax],-,PKR 0.75/SMS [Exc. Tax],-,PKR 0.75/SMS [Exc. Tax],-,PKR 5/SMS [Exc. Tax],-,-,-,-,-,20000 On-net minutes,2000 Off-net minutes,-,"20 GB Data [2G,3G,4G]",PKR 0.75/SMS [Exc. Tax],PKR 4366 [Excl Tax],-,"7,500",-,5000,"Package with 20GB Data + 2000 Off-Net Min + 20,000 On-Net Min + 20,000 SMS for a month, Note: IR- deposit is the minimum deposit required and not an additional requirement",A,5344,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,Postpay Max - Base - Default - Activation Postpay Max - Base - Default - Information Postpay Max - Base - Default - Complaints - Incentive Issue Postpay Max - Base - Default - Complaints - Wrong/Over Charging Postpay Max - Base - Default - Complaints - General,Postpay Max - work codes addition,B2C,"CC - GSM JAZZ,CC - CFL,CC - QA,CE Team,CE VMT,FRA - ALL,Business centers,MKT - Segments,BO - Outsource,BO - In House,Jazz Q&T,CC: Credit & Collection,Social Media,Comm Unit,CX–PTA CORRESPONDENCE TEAM,FSE groups",Active
2369,73,Postpaid,Packages,Jazz,Postpay Ultimate,PKR 1.75/60 Sec [Exc. Tax],-,PKR 1.75/60 Sec [Exc. Tax],-,-,PKR 0.75/60 Sec [Exc. Tax],-,PKR 1.75/60 Sec [Exc. Tax],-,PKR 0.75/SMS [Exc. Tax],-,PKR 0.75/SMS [Exc. Tax],-,PKR 5/SMS [Exc. Tax],-,-,-,-,-,15000 On-net minutes,1500 Off-net minutes,-,"15 GB Data [2G,3G,4G]",PKR 0.75/SMS [Exc. Tax],PKR 2910.67 [Excl Tax],-,"5,000",-,5000,"Package with 15GB Data + 1500 Off-Net Min + 15,000 On-Net Min + 15,000 SMS for a month",A,5343,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,Postpay Ultimate - Base - Default - Activation Postpay Ultimate - Base - Default - Information Postpay Ultimate - Base - Default - Complaints - Incentive Issue Postpay Ultimate - Base - Default - Complaints - Wrong/Over Charging Postpay Ultimate - Base - Default - Complaints - General,Postpay Ultimate - Work Codes Addition,B2C,"CC - GSM JAZZ,CC - CFL,CC - QA,CE Team,CE VMT,FRA - ALL,Business centers,MKT - Segments,BO - Outsource,BO - In House,Jazz Q&T,CC: Credit & Collection,Social Media,Comm Unit,CX–PTA CORRESPONDENCE TEAM,FSE groups",Active
2373,74,Postpaid,Packages,Jazz,Gold Value,PKR 1.75/60 Sec [Exc. Tax],-,Rs.2+tax/min,-,3,-,PKR 0.75/60 Sec [Exc. Tax],PKR 1.75/60 Sec [Exc. Tax],-,PKR 0.75/SMS [Exc. Tax],-,PKR 0.75/60 Sec [Exc. Tax],-,PKR 5/SMS [Exc. Tax],-,-,Rs.2+tax/MB,-,-,4500,300,-,15GB data,4500,Rs.945.97 [Excl Tax],-,Rs.1700,Rs.1700,Rs 5000,Note: Waiver of Rs.1700 is also allowed on this Package on Pre to Post Conversion ( Segment: Gold Only ),A,5366,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,Gold Value - Base - Default - Activation Gold Value - Base - Default - Information Gold Value - Base - Default - Complaints - Incentive Issue Gold Value - Base - Default - Complaints - Wrong/Over Charging Gold Value - Base - Default - Complaints - General,Waiver Issuance to Gold segment only,B2C,"CC - GSM JAZZ,CC - RTG,CC - CFL,CC - QA,DFS - Helpline,CE Team,CE VMT,RBH,CP,RD,ASM BSM,FRA - ALL,Business centers,EC - Managers,MKT - Segments,MKT-VAS,DIG - ALL,BO - Outsource,BO - In House,CE-Development,Jazz Q&T,CC: Credit & Collection,Social Media,Comm Unit,CX–PTA CORRESPONDENCE TEAM,FSE groups,MMBL QA,Regional Finance Business Partner,MMBL CC,SIMOSA TEAM,Sales,B2B,Sales (Regional commercial),Sales Operation Executive,BIZ,DFS Customer Experience Team",Active
2380,75,Postpaid,Packages,Jazz,Jazz Red,2.2+tax/min,nan,2.2+tax/min,nan,3,2.2+tax/min,nan,2.2+tax/min,nan,0.75+tax/SMS,nan,0.75+tax/SMS,-,5+tax/SMS,Na,-,Rs.2+tax/MB,-,-,1000 All-Net Mins & 50 IDD,-,-,100GB,10000,Rs.2183 [Excl Tax],-,Rs.3100,-,Rs5000,"IDD Destinations: (AUS,CAN,USA,CHINA) Offer Mechanics: New sales will be charged on ‘daily pro-rated basis’ according to their bill cycle Tamasha & Discount Bazaar subscription: The package also provides free subscription to Tamasha and Discount Bazaar. About Tamasha: https://jazz.com.pk/mobile-apps/tamasha About Jazz Discount Bazaar: https://jazz.com.pk/mobile-apps/discount-bazar Free Pandapro Subscription: Customers will get Free Pandapro Subscription upon subscribing to Monthly Freedom For details visit KMS link: Jazz X Foodpanda - Free Pandapro Subscription https://cemdev.jazz.com.pk:909/SOP/Index/15789",A,5432,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,Description Jazz Red - Base - Default - Activation Jazz Red - Base - Default - Information Jazz Red - Base - Default - Complaints - Wrong/Over Charging Jazz Red - Base - Default - Complaints - General,Revision in price and incentive,B2C,"CC - GSM JAZZ,CC - RTG,CC - CFL,CC - QA,DFS - Helpline,CE Team,CE VMT,RBH,CP,RD,ASM BSM,FRA - ALL,Business centers,EC - Managers,MKT - Segments,MKT-VAS,DIG - ALL,BO - Outsource,BO - In House,CE-Development,Jazz Q&T,CC: Credit & Collection,Social Media,Comm Unit,CX–PTA CORRESPONDENCE TEAM,FSE groups,MMBL QA,Regional Finance Business Partner,MMBL CC,SIMOSA TEAM,Sales,B2B,Sales (Regional commercial),Sales Operation Executive,BIZ,DFS Customer Experience Team",Active
2384,76,Postpaid,Packages,Jazz,Jazz Red Z,2.2+tax/min,nan,2.2+tax/min,-,-,2.2+tax/min,-,2.2+tax/min,-,Rs 0.75+tax/SMS,-,Rs 0.75+tax/SMS,-,nan,nan,nan,Rs.2+tax/MB,-,-,3000 All-Net & 100 IDD,-,-,200 GB,20000,Rs.2546.84 [Excl Tax],-,Rs.3600,-,Rs5000,"IDD Destinations: (AUS,CAN,USA,CHINA) Dear All This is to inform Jazz Red Z packages will not be available for New Sale only. Rest of the process will remian same. Guide Please handle customers accordingly. -------------------------------------------------------------------------------------------------------------------------------- Offer Mechanics: Package will be available for customers at Business Centers, Franchises and Retailers Package will be available for Existing Consumer Postpaid subscribers New SIM Sales Pre to Post Conversions Port-Ins New sales will be charged on ‘daily pro-rated basis’ according to their bill cycle All other mechanics of the Price-Plan remain the same Deffered change of Package plan is allowed on this package via helpline IR/IDD services are available on the RED Packages r Tamasha & Discount Bazaar subscription: The package also provides free subscription to Tamasha and Discount Bazaar. About Tamasha: https://jazz.com.pk/mobile-apps/tamasha About Jazz Discount Bazaar: https://jazz.com.pk/mobile-apps/discount-bazar Free Pandapro Customers will get Free Pandapro Subscription upon subscribing to Monthly Freedom For details visit KMS link: Jazz X Foodpanda - Free Pandapro Subscription https://cemdev.jazz.com.pk:909/SOP/Index/15789",A,10027,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,Description Jazz Red Z - Base - Default - Activation Jazz Red Z - Base - Default - Information Jazz Red Z - Base - Default - Complaints - Wrong/Over Charging Jazz Red Z - Base - Default - Complaints - General,"IDD Destinations: (AUS,CAN,USA,CHINA)",B2C,"CC - GSM JAZZ,CC - RTG,CC - CFL,CC - QA,DFS - Helpline,CE Team",Active
2388,77,Postpaid,Packages,Jazz,Postpaid Gold Classic,PKR 2.2 + Tax,-,PKR 2.2 + Tax,-,-,PKR 2.2 + Tax,-,PKR 2.2 + Tax,-,0.75+tax,-,0.75+tax,-,Rs 5+TAX/SMS,-,-,-,3500 SMS,-,4500,300 Mins,-,15GBs,4500,Rs.945.97 [Excl Tax],-,Rs.1400,-,PKR 5000,"Offer Mechanics: Applicable for New Sales, Pre to Post Conversions, Port-Ins and conversions from J & Legacy Packages by CCR from Helpline; All Price Plans are monthly recursive and pro-ratable; Maximum of 3 F&F numbers will be allowed; 4x Data Offer (For New Acquisition) will not be available for the New Price Plans. Note: Visibility for Gold Packages in SIMOSA App is currently under development. we will update you once any Change is made",A,7496,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,Description Gold Classic - Base - Default - Activation Gold Classic - Base - Default - Information Gold Classic - Base - Default - Complaints - Incentive Issue Gold Classic - Base - Default - Complaints - Wrong/Over Charging Gold Classic - Base - Default - Complaints - General,Revision in Security Deposit & Line Rent,B2C,"CC - GSM JAZZ,CC - RTG,CC - CFL,CC - QA,DFS - Helpline,CE Team,CE VMT,Jazz Q&T,MMBL QA,MMBL CC",Active
2408,80,Prepaid,Others,Jazz,Prepaid Self Service Menu - *444#,-,-,nan,nan,nan,nan,nan,-,-,-,-,-,-,-,-,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,A,"752,786,747,528,863,000,000,000,000,000,000,000",-,-,-,-,-,-,-,-,-,-,-,-,Menu FOC,"Prepaid Self Service Menu - *444# Prepaid consolidated Menu from where you can activated top desired bundles and services. Menu is attached for refrence. Main Menu 1: Top Offers Please refer to below tables 2: All in One Offers 3: Super 4G Data Offers 4: Super Social and SMS Offers 5: Make your own Offer Redirect to *303# 6: My Account Please refer to below tables 7: Prepaid Usage History Usage History (Calls, SMS and Data) Balance share History Recharge History 8: Jazz tunes Redirect to *230# 9: Jazz on WhatsApp 10: VAS Redirect to *6611# 11: Block on Stolen/Restoration 12: 4G Activation & Deactivation 13: International Roaming Redirect to *7626# Other Avaiable Services Personal info [Ownership Confirmation] My Package Plan and Balance Recharge Account Internet Settings Eligibility of Reactivation Offer Tax Certificate FNF List Improtant Point Please note that there may be a possible delay of ~30 minutes in displaying the Usage History.",*444#,CallCenter,Prepaid Self Service Menu - Information,nan,B2C,"FRA - ALL,FSE groups",Active
2431,96,Postpaid,Packages,Jazz,Gold Starter,Rs.2 [Exc. Tax],-,Rs.2 [Exc. Tax],-,-,Rs.0.75 [Exc. Tax],-,Rs.2 [Exc. Tax],-,Rs.0.75 [Exc. Tax],-,Rs.0.75 [Exc. Tax],-,Rs.5 [Exc. Tax],-,-,Rs.5 [Exc. Tax],-,-,4500,300,-,15GB,4500,Rs.999 [Exc. Tax],-,Rs.1100,-,Rs.5000,"Terms & Conditions: This offer is available for N ew Sale , Pre to Post conversions & MNP Existing postpaid customer cannot switch to this package plan Customers will receive upfront resources while their charging will be pro-rated There will be no price ups of the offer till 30 th Jun’2026",A,11148,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,nan,package is also available on MNP,B2C,"CC - GSM JAZZ,CC - CFL,CC - QA,CE Team,CE VMT,FRA - ALL,Business centers,MKT - Segments,BO - Outsource,BO - In House,Jazz Q&T,CC: Credit & Collection,Social Media,Comm Unit,CX–PTA CORRESPONDENCE TEAM",Active
